Model,Precision,Clean Accuracy,FGSM Accuracy,Model Size (MB),Inference Time (ms),Compression Ratio
ResNet18 FP32,FP32,98.66%,68.02%,42.71,0.2797,1.0
ResNet18 INT8,INT8,98.66%,81.04%,10.81,1.0184,3.95
